,Unnamed: 0.1,Unnamed: 0,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
64,64,64,65,0,1,"Stewart, Mr. Albert A",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,PC 17605,-0.09027201697708476,,C
65,65,65,66,1,3,"Moubarek, Master. Gerios",0,-0.10463740114712752,0.4327933656785018,0.7676298785983874,2661,-0.3414522396297103,,C
66,66,66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,-0.027787557825836348,-0.47454519624983954,-0.4736736092984604,C.A. 29395,-0.43700743807979686,F33,S
67,67,67,68,0,3,"Crease, Mr. Ernest James",0,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,S.P. 3464,-0.4841568350646187,,S
68,68,68,69,1,3,"Andersson, Miss. Erna Alexandra",1,-0.9499856776813305,3.1548090514635256,2.0089333664952354,3101281,-0.4888542575852486,,S
69,69,69,70,0,3,"Kink, Mr. Vincenz",0,-0.2583370877897099,1.340131927606843,-0.4736736092984604,315151,-0.47400492578514347,,S
70,70,70,71,0,2,"Jenkin, Mr. Stephen Curnow",0,0.20276197213803718,-0.47454519624983954,-0.4736736092984604,C.A. 33111,-0.43700743807979686,,S
71,71,71,72,0,3,"Goodwin, Miss. Lillian Amy",1,-1.0268355210026217,4.0621476133918675,2.0089333664952354,CA 2144,0.2958951755118318,,S
72,72,72,73,0,2,"Hood, Mr. Ambrose Jr",0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,S.O.C. 14879,0.8314778546749452,,S
73,73,73,74,0,3,"Chronopoulos, Mr. Apostolos",0,-0.2583370877897099,0.4327933656785018,-0.4736736092984604,2680,-0.3573908580066095,,C
74,74,74,75,1,3,"Bing, Mr. Lee",0,0.20276197213803718,-0.47454519624983954,-0.4736736092984604,1601,0.48910360681684706,,S
75,75,75,76,0,3,"Moen, Mr. Sigurd Hansen",0,-0.33518693111100106,-0.47454519624983954,-0.4736736092984604,348123,-0.494391296561559,F G73,S
76,76,76,77,0,3,"Staneff, Mr. Ivan",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349208,-0.4894421904510968,,S
77,77,77,78,0,3,"Moutal, Mr. Rahamin Haim",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,374746,-0.4863374216869257,,S
78,78,78,79,1,2,"Caldwell, Master. Alden Gates",0,-2.192647644186609,-0.47454519624983954,2.0089333664952354,248738,-0.06451572512800753,,S
79,79,79,80,1,3,"Dowdell, Miss. Elizabeth",1,0.04906228549545483,-0.47454519624983954,-0.4736736092984604,364516,-0.397241430886295,,S
80,80,80,81,0,3,"Waelens, Mr. Achille",0,-0.5657364610748746,-0.47454519624983954,-0.4736736092984604,345767,-0.46720946885967163,,S
81,81,81,82,1,3,"Sheerlinck, Mr. Jan Baptist",0,-0.027787557825836348,-0.47454519624983954,-0.4736736092984604,345779,-0.45714212526638004,,S
82,82,82,83,1,3,"McDermott, Miss. Brigdet Delia",1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,330932,-0.49162277707340374,,Q
83,83,83,84,0,1,"Carrau, Mr. Francisco M",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,113059,0.29992211294914856,,S
84,84,84,85,1,2,"Ilett, Miss. Bertha",1,-0.9499856776813305,-0.47454519624983954,-0.4736736092984604,SO/C 14885,-0.43700743807979686,,S
85,85,85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,0.27961181545932834,2.2474704895351842,-0.4736736092984604,3101278,-0.32928686163157667,,S
86,86,86,87,0,3,"Ford, Mr. William Neal",0,-1.0268355210026217,0.4327933656785018,3.250236854392083,W./C. 6608,0.04370821849987721,,S
87,87,87,88,0,3,"Slocovski, Mr. Selman Francis",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,SOTON/OQ 392086,-0.4863374216869257,,S
88,88,88,89,1,1,"Fortune, Miss. Mabel Helen",1,-0.48888661775358344,2.2474704895351842,2.0089333664952354,19950,4.647001076532463,C23 C25 C27,S
89,89,89,90,0,3,"Celotti, Mr. Francesco",0,-0.41203677443229225,-0.47454519624983954,-0.4736736092984604,343275,-0.4863374216869257,,S
90,90,90,91,0,3,"Christmann, Mr. Emil",0,-0.027787557825836348,-0.47454519624983954,-0.4736736092984604,343276,-0.4863374216869257,,S
91,91,91,92,0,3,"Andreasson, Mr. Paul Edvin",0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,347466,-0.4902797934380587,,S
92,92,92,93,0,1,"Chaffee, Mr. Herbert Fuller",0,1.2786597786361138,0.4327933656785018,-0.4736736092984604,W.E.P. 5734,0.5833178351003071,E31,S
93,93,93,94,0,3,"Dean, Mr. Bertram Frank",0,-0.2583370877897099,0.4327933656785018,2.0089333664952354,C.A. 2315,-0.23415046467497105,,S
94,94,94,95,0,3,"Coxon, Mr. Daniel",0,2.277707741812899,-0.47454519624983954,-0.4736736092984604,364500,-0.5024451714361923,,S
95,95,95,96,0,3,"Shorney, Mr. Charles Joseph",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,374910,-0.4863374216869257,,S
96,96,96,97,0,1,"Goldschmidt, Mr. George B",0,3.1999058616683933,-0.47454519624983954,-0.4736736092984604,PC 17754,0.0493298231623713,A5,C
97,97,97,98,1,1,"Greenfield, Mr. William Bertram",0,-0.48888661775358344,-0.47454519624983954,0.7676298785983874,PC 17759,0.6272778976347743,D10 D12,C
98,98,98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,0.35646165878061953,-0.47454519624983954,0.7676298785983874,231919,-0.18532384824750675,,S
99,99,99,100,0,2,"Kantor, Mr. Sinai",0,0.35646165878061953,0.4327933656785018,-0.4736736092984604,244367,-0.12491978668775715,,S
100,100,100,101,0,3,"Petranec, Miss. Matilda",1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349245,-0.4894421904510968,,S
101,101,101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349215,-0.4894421904510968,,S
102,102,102,103,0,1,"White, Mr. Richard Frasar",0,-0.6425863043961658,-0.47454519624983954,0.7676298785983874,35281,0.907737982394129,D26,S
103,103,103,104,0,3,"Johansson, Mr. Gustaf Joel",0,0.27961181545932834,-0.47454519624983954,-0.4736736092984604,7540,-0.4741720436887921,,S
104,104,104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,0.5870111887444931,1.340131927606843,-0.4736736092984604,3101276,-0.4888542575852486,,S
105,105,105,106,0,3,"Mionoff, Mr. Stoytcho",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,349207,-0.4894421904510968,,S
106,106,106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,343120,-0.494391296561559,,S
107,107,107,108,1,3,"Moss, Mr. Albert Johan",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,312991,-0.4918744606632361,,S
108,108,108,109,0,3,"Rekic, Mr. Tido",0,0.6638610320657843,-0.47454519624983954,-0.4736736092984604,349249,-0.4894421904510968,,S
109,109,109,110,1,3,"Moran, Miss. Bertha",1,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,371110,-0.1621689579829361,,Q
110,110,110,111,0,1,"Porter, Mr. Walter Chamberlain",0,1.3555096219574048,-0.47454519624983954,-0.4736736092984604,110465,0.39858208016340624,C110,S
111,111,111,112,0,3,"Zabour, Miss. Hileni",1,-1.1421102859845584,0.4327933656785018,-0.4736736092984604,2665,-0.3573908580066095,,C
112,112,112,113,0,3,"Barton, Mr. David John",0,-0.5657364610748746,-0.47454519624983954,-0.4736736092984604,324669,-0.4863374216869257,,S
113,113,113,114,0,3,"Jussila, Miss. Katriina",1,-0.719436147717457,0.4327933656785018,-0.4736736092984604,4136,-0.4505983519307405,,S
114,114,114,115,0,3,"Attalah, Miss. Malake",1,-0.9499856776813305,-0.47454519624983954,-0.4736736092984604,2627,-0.3573083057891445,,C
115,115,115,116,0,3,"Pekoniemi, Mr. Edvard",0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,STON/O 2. 3101294,-0.4888542575852486,,S
116,116,116,117,0,3,"Connors, Mr. Patrick",0,3.1614809400077477,-0.47454519624983954,-0.4736736092984604,370369,-0.49237782784290063,,Q
117,117,117,118,0,2,"Turpin, Mr. William John Robert",0,-0.027787557825836348,0.4327933656785018,-0.4736736092984604,11668,-0.22559322262067316,,S
118,118,118,119,0,1,"Baxter, Mr. Quigg Edmond",0,-0.41203677443229225,-0.47454519624983954,0.7676298785983874,PC 17558,4.335332226633905,B58 B60,C
119,119,119,120,0,3,"Andersson, Miss. Ellis Anna Maria",1,-2.1027333275006983,3.1548090514635256,2.0089333664952354,347082,-0.01870931177853076,,S
120,120,120,121,0,2,"Hickman, Mr. Stanley George",0,-0.6425863043961658,1.340131927606843,-0.4736736092984604,S.O.C. 14879,0.8314778546749452,,S
121,121,121,122,0,3,"Moore, Mr. Leonard Charles",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,A4. 54510,-0.4863374216869257,,S
122,122,122,123,0,2,"Nasser, Mr. Nicholas",0,0.24118689379868277,0.4327933656785018,-0.4736736092984604,237736,-0.04295550208861426,,C
123,123,123,124,1,2,"Webber, Miss. Susan",1,0.24118689379868277,-0.47454519624983954,-0.4736736092984604,27267,-0.3866707201133388,E101,S
124,124,124,125,0,1,"White, Mr. Percival Wayland",0,1.893458525206443,-0.47454519624983954,0.7676298785983874,35281,0.907737982394129,D26,S
125,125,125,126,1,3,"Nicola-Yarred, Master. Elias",0,-1.3342348942877864,0.4327933656785018,-0.4736736092984604,2651,-0.42207354059350805,,C
126,126,126,127,0,3,"McMahon, Mr. Martin",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,370372,-0.49237782784290063,,Q
127,127,127,128,1,3,"Madsen, Mr. Fridtjof Arne",0,-0.41203677443229225,-0.47454519624983954,-0.4736736092984604,C 17369,-0.5046257580584992,,S
128,128,128,129,1,3,"Peter, Miss. Anna",1,-0.10463740114712752,0.4327933656785018,0.7676298785983874,2668,-0.19824427701513722,F E69,C
129,129,129,130,0,3,"Ekstrom, Mr. Johan",0,1.2018099353148226,-0.47454519624983954,-0.4736736092984604,347061,-0.5079822104125026,,S
130,130,130,131,0,3,"Drazenoic, Mr. Jozef",0,0.27961181545932834,-0.47454519624983954,-0.4736736092984604,349241,-0.4894421904510968,,C
131,131,131,132,0,3,"Coelho, Mr. Domingos Fernandeo",0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,SOTON/O.Q. 3101307,-0.5064721088735089,,S
132,132,132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,1.3555096219574048,0.4327933656785018,-0.4736736092984604,A/5. 3337,-0.35646868933346404,,S
133,133,133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,-0.027787557825836348,0.4327933656785018,-0.4736736092984604,228414,-0.12491978668775715,,S
134,134,134,135,0,2,"Sobey, Mr. Samuel James Hayden",0,-0.33518693111100106,-0.47454519624983954,-0.4736736092984604,C.A. 29178,-0.3866707201133388,,S
135,135,135,136,0,2,"Richard, Mr. Emile",0,-0.48888661775358344,-0.47454519624983954,-0.4736736092984604,SC/PARIS 2133,-0.3454791770670269,,C
136,136,136,137,1,1,"Newsom, Miss. Helen Monypeny",1,-0.7962859910387481,-0.47454519624983954,2.0089333664952354,11752,-0.11921562980779811,D47,S
137,137,137,138,0,1,"Futrelle, Mr. Jacques Heath",0,0.5870111887444931,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,C123,S
138,138,138,139,0,3,"Osen, Mr. Olaf Elon",0,-1.0268355210026217,-0.47454519624983954,-0.4736736092984604,7534,-0.4628462821463391,,S
139,139,139,140,0,1,"Giglio, Mr. Victor",0,-0.41203677443229225,-0.47454519624983954,-0.4736736092984604,PC 17593,0.9462455716384695,B86,C
140,140,140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",1,-0.10463740114712752,-0.47454519624983954,2.0089333664952354,2678,-0.3414522396297103,,C
141,141,141,142,1,3,"Nysten, Miss. Anna Sofia",1,-0.5657364610748746,-0.47454519624983954,-0.4736736092984604,347081,-0.49237782784290063,,S
142,142,142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,-0.41203677443229225,0.4327933656785018,-0.4736736092984604,STON/O2. 3101279,-0.32928686163157667,,S
143,143,143,144,0,3,"Burke, Mr. Jeremiah",0,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,365222,-0.5125125150294839,,Q
144,144,144,145,0,2,"Andrew, Mr. Edgardo Samuel",0,-0.8731358343600393,-0.47454519624983954,-0.4736736092984604,231945,-0.41687275089321363,,S
145,145,145,146,0,2,"Nicholls, Mr. Joseph Charles",0,-0.7962859910387481,0.4327933656785018,0.7676298785983874,C.A. 33112,0.09152810056801232,,S
146,146,146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,-0.1814872444684187,-0.47454519624983954,-0.4736736092984604,350043,-0.49145565916975514,,S
147,147,147,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,-1.56478442425166,1.340131927606843,2.0089333664952354,W./C. 6608,0.04370821849987721,,S
148,148,148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0.5485862670838475,-0.47454519624983954,2.0089333664952354,230080,-0.12491978668775715,F2,S
149,149,149,150,0,2,"Byles, Rev. Thomas Roussel Davids",0,0.9712604053509489,-0.47454519624983954,-0.4736736092984604,244310,-0.3866707201133388,,S
150,150,150,151,0,2,"Bateman, Rev. Robert James",0,1.6629089952425695,-0.47454519624983954,-0.4736736092984604,S.O.P. 1166,-0.39623469652696586,,S
151,151,151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,113776,0.6925485130875209,C2,S
152,152,152,153,0,3,"Meo, Mr. Alfonzo",0,2.00873329018838,-0.47454519624983954,-0.4736736092984604,A.5. 11206,-0.4863374216869257,,S
153,153,153,154,0,3,"van Billiard, Mr. Austin Blyler",0,0.8559856403690123,-0.47454519624983954,2.0089333664952354,A/5. 851,-0.35646868933346404,,S
154,154,154,155,0,3,"Olsen, Mr. Ole Martin",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,Fa 265302,-0.5011867534870308,,S
155,155,155,156,0,1,"Williams, Mr. Charles Duane",0,1.6629089952425695,-0.47454519624983954,0.7676298785983874,PC 17597,0.5874293382238074,,C
156,156,156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,-1.0268355210026217,-0.47454519624983954,-0.4736736092984604,35851,-0.49271407711891657,,Q
157,157,157,158,0,3,"Corn, Mr. Harry",0,0.04906228549545483,-0.47454519624983954,-0.4736736092984604,SOTON/OQ 392090,-0.4863374216869257,,S
158,158,158,159,0,3,"Smiljanic, Mr. Mile",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,315037,-0.47400492578514347,,S
159,159,159,160,0,3,"Sage, Master. Thomas Henry",0,-0.10463740114712752,6.784163299176891,2.0089333664952354,CA. 2343,0.7519458402879414,,S
160,160,160,161,0,3,"Cribb, Mr. John Hatfield",0,1.1249600919935314,-0.47454519624983954,0.7676298785983874,371362,-0.32425318983493084,,S
161,161,161,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,0.8175607187083667,-0.47454519624983954,-0.4736736092984604,C.A. 33595,-0.331300330350235,,S
162,162,162,163,0,3,"Bengtsson, Mr. John Viktor",0,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,347068,-0.4918744606632361,,S
163,163,163,164,0,3,"Calic, Mr. Jovo",0,-0.9499856776813305,-0.47454519624983954,-0.4736736092984604,315093,-0.47400492578514347,,S
164,164,164,165,0,3,"Panula, Master. Eino Viljami",0,-2.1795831708219895,3.1548090514635256,0.7676298785983874,3101295,0.1506737441786005,,S
165,165,165,166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,-1.56478442425166,-0.47454519624983954,2.0089333664952354,363291,-0.2351571990343002,,S
166,166,166,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,-0.10463740114712752,-0.47454519624983954,0.7676298785983874,113505,0.4589861417231558,E33,S
167,167,167,168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1.2018099353148226,0.4327933656785018,4.491540342288931,347088,-0.08666388103324908,,S
168,168,168,169,0,1,"Baumann, Mr. John D",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,PC 17318,-0.12642988822675086,,S
169,169,169,170,0,3,"Ling, Mr. Lee",0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,1601,0.48910360681684706,,S
170,170,170,171,0,1,"Van der hoef, Mr. Wyckoff",0,2.4314074284554814,-0.47454519624983954,-0.4736736092984604,111240,0.026090367211616904,B19,S
171,171,171,172,0,3,"Rice, Master. Arthur",0,-1.949033640858116,3.1548090514635256,0.7676298785983874,382652,-0.06199888922968463,,Q
172,172,172,173,1,3,"Johnson, Miss. Eleanor Ileen",1,-2.1795831708219895,0.4327933656785018,0.7676298785983874,347742,-0.4242561406845337,,S
